대화셋일련번호,고객의도,문장번호,고객질문(요청),개체명 ,지식베이스
A8422,대출계약,1,대출계약에 대해 궁금한 사항이 있어서요,대출계약/신용회복/대출금/전액/상환,"신용회복,금액"
A8511,약관대출,1,보험계약대출을 받으려고 하는데 지금 상담 가능한가요?,보험계약대출.지금.상담.가능,"보험계약대출.지금.상담.가능,허용"
A8513,담보추가대출,1,아파트 담보 대출을 받았는데 추가로 더 받을수 있나요?,아파트.담보.대출.추가,"아파트.담보.대출.추가,대부"
A8529,보험대출,1,혹시 보험계약 대출을 받으면 다른사람이 제 내역을 알수 있나요?,보험계약.대출.사람.내역,"보험계약.대출.사람.내역,대부"
A8563,보험계약대출,1,보험대출이란것도 있나요?,보험대출,"보험대출,대부"
A8628,전화대출상담,1,대출을 받고 싶은데요 어떻게 하면 되나요?,대출,"대출,대부"
A8629,전화대출상담,1,창구에 가지 않고 대출을 받고 싶은데요.,"창구, 대출","대출,대부"
A8630,담보대출상담,1,대출받고 싶은데 저희 집 담보로 얼마까지 되는지 알고 싶어요,"집, 담보, 대출","담보,대부"
A8654,보험 약관 대출,1,보험 약관대출 받고 싶으데 되나요?,보험약관대출,보험약관대출
A8655,보험 약관 대출,1,제가 얼마전에 약관대출 받으려고 알아봤을때보다 지금 좀 적어진거 같은데 왜그런가요?,약관대출,"약관대출,대부"
A8656,인터넷보험대출,1,보험약관대출건에 대해 문의드려도 될까요?,보험약관대출.문의,"보험약관대출.문의,설명"
A8674,보험계약대출,1,보험사에서 대출도 받을수 있나요?,보험사. 대출,"보험사.대출,대부"
A8751,대출금상환,1,대출금을 매월 나누어 상환하는 걸로 하고 싶은데 할 수 있나요?,상환,"상환,반납"
A8753,약관대출,1,제가 보험사에서 문자를 받았는데 제가 대출중이라는 뜻인건지 이해가 안되어서요?,"보험사, 문자, 대출","문자,대부"
A8754,대출안내,1,00생명 고객센터 전화번호가 뭔가요?,"00생명, 고객센터, 전화번호","고객센터,핸드폰번호"
A8755,보험대출,1,보험계약대출을 받았는데 그 내용을 다른사람이 알 수 있나요?,"보험계약대출, 내용","내용,내역"
A8756,대출신청오류,1,보험계약대출인가 그거 가능하다해서 신청하려고 합니다. 도와주시겠어요?,"계약대출, 가능, 신청","가능,요청"
A8757,대출금상환,1,대출금 상환일이 아닌데 상환하려고요?,상환,"상환,반납"
A8766,보험 약관 대출,1,보험 약관대출이라는게 있다던데 저도 받을 수 있나요?,보험,"보험,상품"
A8767,보험 약관 대출,1,약관대출 금액을알아보니 얼마전에 알아봤던것보다 더 적어졌어요 왜 그럴까요?,"약관대출,금액","금액,돈"
A8768,보험 약관 대출,1,보험회사에서 대출도 해주나요?,"보험사,대출","대출,대부"
A9130, 보험대출,1, 보험사에서도 대출이 되나요?,보험사,"보험사,기관"
A9133, 모기지론,1, 집을 샀는데요 보험대출 알아보려구요,대출,"대출,금융상품"
A9135, 모기지론,1, 보험사대출 받으면 일반은행 신용이 떨어지나요?,대출,"대출,금융상품"
A9136, 모기지론,1, 다주택지 주택담보 대출 가능할까요?,대출,"대출,금융상품"
A9137, 약관대출,1, 약관대출  하려고 하는데요 몇가지 물어보려구요?,대출,"대출,금융상품"
A9155, 보험대출,1, 아들이 대학생인데요 학자금 대출 문의하려고요?,대학생,"대학생,학생"
A11443,아파트담보대출,1,"현금이 급히 필요해서 그런데, 아파트 담보대출로 가능할까요?","현금, 아파트, 담보대출","아파트,공동주택"
A11453,보험계약대출,1,보험계약 대출 받으려 합니다.,보험/계약/대출,"계약,대출"
A11469,출금,1,보험계약대출 문의 드립니다,"보험계약대출,문의","문의,질문"
A11474,출금,1,대출 이자가 미납되었습니다,"대출이자,미납","미납,이자"
A11481,원리금납입,1,제가 대출 한게 있는데 지금 상환하면 수수료가 있나요?,"대출, 수수료, 상환","수수료,변제"
A11485,대출금리,1,대출금리를 인하도 가능하다고 해서요 ,대출금리,"대출금리,듬리"
A11486,보험대출,1,안녕하세요 보험상품으로 대출 가능한가요?,보험상품,"보험상품,금융상품"
A11487,대출이용,1,요새 서류 없이 신용대출이 가능하다던데 ,"온라인, 신용대출","신용대출,융자"
A11792,대출 신청,1,보험으로 약관대출을 받을 수 있을까요?,"보험,약관대출","약관대출,대출-금융상품"
A11816,대출,1,가입한 보험으로도 대출이 가능한가요?,"가입,보험,대출,가능","보험,계약"
A11821,대출,1,저도 대출을 받고 싶은데 어떤게 가능할까요?,"대출,가능","가능,대출-금융상품"
A11822,대출 신청,1,제가 약관대출을 받을 수 있을까요?,"보험,약관대출","약관대출,계약대출"
A11840,대출 신청,1,제가 보험을 들고 있는데 그 보험으로 약관대출을 받고 싶은데요.,"보험,약관대출","약관대출,계약대출"
A12148,대출서비스,1,약관대출 알아보려구요,"약관대출,알아보려","알아보려,조회"
A12149,대출서비스,1,약관대출 알아보려구요,"약관대출,알아보려","알아보려,조회"
A12150,대출서비스,1,약관대출 알아보려구요,"약관대출,알아보려","알아보려,조회"
A12151,대출서비스,1,약관대출 알아보려구요,"약관대출,알아보려","알아보려,조회"
A12152,대출서비스,1,약관대출 알아보려구요,"약관대출,알아보려","알아보려,조회"
A12153,대출서비스,1,약관대출 가능액 알아보려구요,"약관대출,알아보려","알아보려,조회"
A12154,대출서비스,1,약관대출 알아보려구요,"약관대출,알아보려","알아보려,조회"
A12155,대출서비스,1,약관대출 알아보려구요,"약관대출,알아보려","알아보려,조회"
A12156,대출서비스,1,약관대출 알아보려구요,"약관대출,알아보려","알아보려,조회"
A12157,대출서비스,1,약관대출 알아보려구요,"약관대출,알아보려","알아보려,조회"
A12158,대출내역조회,1,보험에서 받은 대출이 얼마나 되죠?,"보험,받은대출,얼마","받은대출,대출잔액"
A12159,대출내역조회,1,신용대출 받은게 얼마나 남았죠?,"신용대출,얼마","얼마,잔액"
A12160,대출내역조회,1,보험에서 받은 대출금이 얼마나 되죠?,"보험,받은대출,얼마","받은대출,대출잔액"
A12161,대출내역조회,1,아파트 담보대출 내역 알려주세요,"담보대출,내역,알려","내역,가르쳐"
A12162,대출내역조회,1,약관대출 내역좀 알려주세요,"약관대출,내역","내역,세부내역"
A12163,대출내역조회,1,보험대출 내역 알고 싶어요,보험대출내역,"보험대출내역,보험대출세부내역"
A12164,대출내역조회,1,약관대출 내역좀 알려주세요,"약관대출,내역","내역,세부내역"
A12165,대출내역조회,1,신용대출 잔액이 얼마나 남았죠?,"신용대출,잔액","잔액,거래내역"
A12166,대출내역조회,1,약관대출 내역좀 알려주세요,"약관대출,내역","내역,세부내역"
A12167,대출내역조회,1,제가 받고 있는 대출내역을 알려주세요,대출내역,대출내역
A12175,출금,1,대출이자 출금해 주세요,"대출이자,출금","출금,인출"
A12177,출금,1,대출금 상환을 하고 싶어요,"대출금,상환","상환,갚는"
A12181,출금,1,대출금 상환을 하고 싶어요,"대출금,상환","상환,갚는"
A12182,출금,1,대출금 상환을 하고 싶어요,"대출금,상환","상환,갚는"
A12188,대출 서비스,1,보험 대출 받으려고요,"보험,대출","대출,금융상품"
A12189,대출 서비스,1,보험약관 대출을 알아보고 싶습니다.,"보험,약관,대출","약관,계약"
A12190,보험 대출,1,보험으로 대출 받고싶습니다,"보험,대출","대출,금융상품"
A12191,보험 대출,1,보험계약대출 신청 가능 조건 말해주세요,"보험,계약,대출,신청,가능,조건","계약,금융상품"
A12192,보험 대출,1,보험약관 대출 원해요,"보험,약관,대출","약관,금융상품"
A12193,보험 대출,1,보험 대출 얼마나 되나요?,"보험,대출","대출,금융상품"
A12196,대출 서비스,1,보험으로 대출 받을 수 있다고 해서요 해주세요,"보험,대출","대출,금융상품"
A12197,보험 대출,1,보험계약대출은 언제까지 상환해야 합니까?,"보험,계약,대출,상환","계약,금융상품"
A12200,보험 대출 서비스,1,보험계약대출 알려주세요,"보험,계약,대출","계약,금융상품"
A12201,보험 대출 서비스,1,보험계약대출이 뭐죠?,"보험,계약,대출","계약,금융상품"
A12206,보험 약관 대출,1,보험약관 대출을 알아보고 싶습니다.,"보험,약관,대출","약관,계약"
A12258,보험대출문의,1,수고하십니다 보험대출에 대해 궁금한게 있어 전화드렸습니다,"보험대출, 궁금, 전화","궁금,통화"
A12259,보험대출해지,1,수고하십니다 보험대출 해지건에 대해 여쭤볼께 있어서요,"보험대출, 해지","해지,해약"
A12260,보험대출문의,1,제가 가입한 보험에서 대출이 가능한지 궁금해요,"가입, 보험, 대출","보험,신용대출"
A12261,보험대출문의,1,수고하십니다 보험대출에 관해 질문할께 있어서요,보험대출,"보험대출,대출"
A12411,전세자금대출금리,1,신혼부부 전세자금 대출 최저금리가 얼마죠?,"신혼부부, 전세자금, 대출, 최저금리","전세자금,금리"
A12412,신용대출조건,1,신용대출을 받을 수 있는 나이는 몇 살 이상인가요?,"신용대출, 나이, 살, 이상","나이,한도"
A12416,담보대출,1,대출 받고 싶은데요 어느정도 받을수 있나요?,대출,"대출,한도"
A12439,신용대출,1,신용대출 받고 싶어요,,
A12446,단기카드대출,1,문자메세지에 단기카드대출금액 한도가 100만원으로 되어있어요,문자메세지,"문자메세지,SMS"
A12447,대출금리,1,신용대출 금리 인하를 받을 수 있나요?,금리,"금리,이자율"
A12451,학자금대출,1,학자금 대출이 필요해서요.가능한가요?,학자금,"학자금,학비"
A12452,예금담보대출,1,예탁금 담보대출 신청할려구요,담보대출,"담보대출,신용대출"
A12454,전세자금대출,1,제가 전세자금대출을 받을 수 있을까요?,대출,"대출,대부"
A12461,담보대출,1,지금 가입되어진 적금으로 담보대출을 받을 수 있나요?,적금,"적금,예적금"
A12473,대출,1,문의 드릴께요. 갑자기 급전이 필요해서요,급전,"급전,급한돈"
A12484,대출문의,1,신용대출을 받고 싶은데 얼마나 받을 수 있을까요?,신용대출,"신용대출,수량"
A12486,담보대출,1,단독주택을 지으려고 하는데 대출받을 수 있나요?,"단독주택,대출","대출,대여"
A12487,대출이율,1,대출이율이 가장 싼 은행은 어디인가요?,"대출,이율,은행","이율,금융기간"
A12490,신용대출문의,1,1억원을 15일간만 신용대출하는게 가능한가요?,신용대출,"신용대출,대출"
A12492,부동산담보대출,1,대출을 받고 싶은데 얼마까지 받을 수 있나요?,대출,"대출,금융거래"
A12493,신용대출조건,1,신용대출을 받고 싶은데 가능한가요?,신용대출,"신용대출,대출"
A12540,대학생학자금대출,1,대학신입생인데 학자금대출을 받을려면 어디에 문의하면 될까요?,"신입생,학자금대출","학자금대출,신입생학자금대출"
A12544,주택담보대출,1,안녕하세요 주택구입시 담보대출이 가능할까요?,"주택구입, 대출",대출
A12545,대출문의,1,직장인 대출이 가능할까요?,"직장인, 대출","대출,금융거래"
A12546,전세자금대출,1,전세자금대출이 될까요?,전세자금대출,"전세자금대출,대출"
A12554,신용대출조건,1,신용대출을 받고 싶은데 나이제한이 있나요?,신용대출,"신용대출,대출"
A12563,학자금대출,1,학자금 대출을 받고 싶은데 어떻게 하면 될까요?,학자금대출,"학자금대출,대출"
A12566,아파트담보대출,1,아파트 담보대출 신청이 가능할까요?,담보대출,"담보대출,대출"
A12579,신용대출 문의,1,신용대출 문의드립니다. 대출을 받을 수 있는 나이는 어떻게 되나요.,"신용대출, 나이, 살, 이상","나이,한도"
A12584,전세자금대출,1,전세자금 대출 받을려고 합니다. 최저금리도 알고싶습니다.,"신혼부부전세자금대출, 최저금리","최저금리,대출"
A12585,신용대출조건,1,신용대출 문의드립니다.,신용대출,"신용대출,대출"
A12590,전세자금대출,1,"청년 전세자금 대출을 받을려고 하는데, 최저금리가 얼마인지 알수 있을까요?","청년,대출,금리","대출,전세자금"
A12595,아파트담보대출,1,아파트 담보대출 신청이 가능할까요?,아파트 담보대출 신청 가능,"아파트담보대출신청가능,접수"
A12596,전세자금대출,1,전세자금 대출 받고 싶은데 요즘 금리가 몇프로에요?,"전세자금대출, 금리","금리,이율"
A12597,부동산담보대출,1,대출 받고 싶은데 가능한가요?,대출,"대출,금융거래"
A12598,신용대출조건,1,신용대출은 어떻게 받을 수 있나요?,신용대출,"신용대출,금융거래"
A12611,학자금대출문의,1,학자금 대출을 받고 싶습니다.,학자금대출/대출문의,대출문의
A12612,학자금대출문의,1,학자금 대출 중 생활비도 받을 수 있나요?,학자금대출/생활비문의,생활비문의
A12681,이체,1,대출금 이체 문의 드립니다,"대출금,이체,문의","이체,질문"
A12694,이체,1,대출금 자동이체 문의 드립니다,"대출금,자동이체","자동이체,이체"
A12724,대출,1,마이너스통장 만들 수 있나요?,"마이너스,통장","통장,계좌"
A12725,대출,1,햇살론 문의 합니다,"햇살론,문의","문의,질문"
A12732,비대면 대출한도,1,비대면으로 신용대출 받을 수 있나요?,"비대면, 신용대출","신용대출,융자"
A12740,학자금대출,1,학자금 대출 관련해서요,학자금 대출,"학자금대출,대출"
A12741,대출문의,1,전세자금 대출 조건에 대해 궁금합니다. ,전세자금,"전세자금,돈"
A12750,대출,1,마이너스통장은 직장인이면 누구나 발급받을수 있나요?,"통장,직장인","직장인,사람"
A12760,대출,1,신용대출을 받고 싶은데 인터넷으로 가능한가요?,"신용대출,인터넷","인터넷,통신수단"
A12761,대출,1,자동차 구입시에 대출이 가능한가요?,"자동차, 대출",대출
A12762,대출,1,자동차를 담보로 대출가능상품이 있나요?,"자동차, 담보",담보
A12763,대출,1,중고차 구입시에도 대출을 받을수 있나요?,"중고차,대출",대출
A12767,대출,1,모바일 뱅킹을 통해서 예금담보대출을 받을수 있나요?,"모바일 뱅킹, 예금담보대출","예금담보대출,대출"
A12769,대출,1,펀드 담보 대출에 대해 문의드릴께 있는데요.,펀드담보대출,"펀드담보대출,대출"
A12770,대출,1,외국인도 대출이 가능한가요?,"외국인, 대출",대출
A12781,대출,1,인터넷으로 통장담보대출 받을수 있나요?,"인터넷,통장담보대출","통장담보대출,대출"
A13153,대출금리,1,안녕하세요. 대출 금리 관련 질문이 있습니다. ,"대출, 금리, 질문","금리,문의"
A13160,전세자금대출,1,신혼부부 전세 대출을 신청하려고 합니다. ,,
A13161,전세자금대출,1,안녕하세요. 전세 대출 문의하려고 하는데요. ,"전세대출, 문의","문의,질문"
A13171,전세자금대출,1,전세자금대출 받으려고요. ,전세자금대출,"전세자금대출,대출"
A13231,대출 문의 ,1,안녕하세요. 대출 문의 드립니다,"대출, 문의",문의
A13244,대출 문의 ,1,안녕하세요. 대출 문의 하려구요. ,"대출, 문의","문의,금융거래"
A13263,군인대출,1,안녕하세요. 직업군인인데 대출을 받을 수 있을까요?,"직업군인, 대출","대출,금융서비스"
A13264,전세대출,1,전세대출 받고싶은데 안내 좀 부탁드릴게요. ,전세대출,"전세대출,대출"
A13268,신용대출,1,안녕하세요. 대출 받으려고 하는데요. ,대출,"대출,금융서비스"
A13274,담보대출,1,담보대출 문의 좀 드리겠습니다. ,담보대출 ,"담보대출,대출"
A13275,신용대출,1,신용대출 신청은 은행에 가서해야하는건가요?,신용대출 ,"신용대출,대출"
A13283,전문직 대출,1,안녕하세요. 제가 치전을 다니는데 대출을 받을 수 있나해서요. ,대출,"대출,대부"
A13284,전문직 대출,1,안녕하세요. 대출 상담을 좀 하려고 합니다. ,대출,"대출,대부"
A13285,전문직 대출,1,안녕하세요. 아까 닥터클럽 대출 상담했었는데요. ,대출,"대출,금융서비스"
A13286,창업 대출,1,제가 창업을 생각중인데 대출을 좀 알아보려고 합니다. ,"창업, 대출","대출,금융서비스"
A13287,외화 대출,1,외화대출 좀 상담받고 싶은데요. ,외화대출,"외화대출,대출"
A13288,직장인 대출,1,안녕하세요. 직장인대출 알아보고 있는데요. ,직장인대출,"직장인대출,대출"
A13289,연구원 대출,1,안녕하세요. 제가 연구원인데 연구원대상 대출이 따로 있어요?,"연구원, 대출","대출,직장"
A13290,공무원 대출,1,공무원 전용 신용대출이 있습니까?,"공무원, 신용대출","신용대출,대출"
A13291,공무원 대출,1,전화로 대출 상담도 해주시나요?,대출,"대출,금융서비스"
A13292,공무원 대출,1,공무원대출 인터넷에서도 신청할 수 있어요?,공무원대출,"공무원대출,대출"
A13293,공무원 대출,1,공무원시험 준비 중인데 공무원대출을 받을 수 있을까요?,공무원대출,"공무원대출,대출"
A13294,자동차 대출,1,차를 새로 사려고 하는데 대출을 좀 받을 수 있을까요?,"차, 대출","대출,금융서비스"
A13295,자동차 대출,1,자동차 대출 받을 수 있어요?,"자동차, 대출","대출,금융서비스"
A13296,대출 조회 ,1,인터넷으로 대출을 신청하긴 했는데 잘 된건지 모르겠어요. ,"대출, 신청","신청,접수"
A13297,대출 조회 ,1,얼마 전에 대출을 했는데요. ,대출,"대출,금융서비스"
A13298,대출 상담,1,대출하려고 홈페이지를 보고있는데 궁금한 점이 있어서요. ,"궁금, 대출","대출,금융서비스"
A13299,대출기한 연장,1,대출기한을 좀 연장할 수 있어요?,대출,"대출,금융서비스"
A13300,대출 상담,1,여기 인테리어대출이 된다고 하던데요?,인테리어대출,"인테리어대출,대출상품"
A13301,대출 상담,1,집을 사려고 대출을 좀 받으려고 하는데 질문 좀 드리겠습니다.  ,"집, 대출","대출,금융서비스"
A13302,대출 상담,1,대출 상담을 좀 하려고 합니다. ,대출,"대출,금융서비스"
A13303,보증금 대출,1,보증금 때문에 그러는데 보증금 대출도 있어요?,"대출, 보증금","보증금,담보"
A13304,대출 상담,1,아직 결혼하지 않았는데 신혼부부 대출이 가능할까요?,신혼부부대출,"신혼부부대출,대출"
A13305,대출 상담,1,신혼부부 대출 상담 받으려고 하는데요. ,신혼부부대출,"신혼부부대출,대출"
A13306,대출 상담,1,안녕하세요. 전세대출 상담 좀 해주세요. ,전세대출,"전세대출,대출"
A13307,대출 상담,1,취준생도 대출을 받을 수 있을까요?,"취준생, 대출","대출,금융서비스"
A13308,대출 상담,1,대출 상품 좀 알아보려고 하는데요. ,대출,"대출,금융서비스"
A13336,전세자금대출,1,전세자금 대출을 좀 받고싶은데요. ,전세자금대출,"전세자금대출,대출"
A13337,법인전세대출,1,전세금 때문에 대출문의를 좀 하려고 합니다. ,전세금 ,"전세금,금액"
A13340,중고차대출,1,저 중고차 대출을 좀 알아보려고 하는데요,중고차,"중고차,교통수단"
A13341,학자금대출,1,"취업후 상환 학자금 대출을 신청하려고 하는데요, 문의 해도 될까요?",학자금대출,"학자금대출,대출"
A13342,학자금대출신청,1,학자금 대출 문의 좀하려고하는데요. ,학자금대출,"학자금대출,대출"
A13343,생활비대출,1,학자금 대출 중 생활비 대출 문의합니다. ,"학자금대출, 생활비대출","생활비대출,대출"
A13344,대출금심사,1,학자금대출 신청을 했는데요 언제쯤 들어오나요?,학자금대출,"학자금대출,대출"
A13345,대출상환문의,1,학자금 대출 상환문의좀 할게요. ,학자금대출,"학자금대출,대출"
A13375,대출서비스,1,전세자금대출 문의하려구요,"전세대출,문의",문의
A13376,대출서비스,1,신용대출이 가능한가 해서요,"신용대출,가능","가능,할수있는"
A13377,대출서비스,1,신용대출이 얼마나 가능한가 해서요,"신용대출,가능","가능,할수있는"
A13378,대출서비스,1,중소기업 청년전세대출이 있다던데요,중소기업청년전세대출,중소기업청년전세대출
A13379,대출서비스,1,전세대출 문의하려구요,"전세대출,문의","문의,궁금"
A13380,대출서비스,1,전세자금대출을 변경할 수 있나요?,"전세자금대출,변경",변경
A13381,대출서비스,1,담보 대출이 얼마나 될까 해서요?,"담보대출,얼마나","얼마나,한도액"
A13382,대출서비스,1,담보 대출 한도가 궁금 해서요?,"담보대출,한도","한도,한도액"
A13383,대출서비스,1,전세자금 대출 알아보려구요,"전세대출,한도","한도,한도액"
A13384,대출서비스,1,전세 대출 한도를 알고 싶은데요,"전세대출,한도","한도,한도액"
A13385,대출 신청,1,제가 건물을 지으려고 하는데 대출 가능할까요?,"건물,대출,가능","대출,건축물"
A13386,대출 신청,1,신용 대출을 하고 싶은데요.,신용대출,"신용대출,대출-금융상품"
A13388,대출 문의,1,제가 아파트 담보대출을 받았는데 금리를 낮출 수 있는 방법이 있나요?,"아파트,담보대출, 금리, 가능","담보대출,공동주택"
A13389,대출 신청,1,제가 소유한 예금을 담보로 대출하고 싶은데요?,"예금, 담보, 대출","담보,보증"
A13390,대출 신청,1,제가 얼마나 신용대출을 받을 수 있나요?,"신용, 대출","대출,대출-금융상품"
A13391,대출 신청,1,제가 신용대출을 받을 수 있을까요?,"신용,대출","대출,대출-금융상품"
A13392,대출 내역,1,"아파트 담보대출이 있는데, 일부 상환할 수 있나요?","아파트, 담보대출, 상환","담보대출,공동주택"
A13393,대출 신청,1,제가 소유한 예금을 담보로 대출할 수 있나요?,"예금, 담보, 대출","담보,보증"
A13404,대출,1,대출 신청하려는데 준비서류가 어떻게 되죠?,"대출,신청,준비,서류","신청,증빙"
A13406,대출 문의,1,제가 아파트 담보대출을 받았는데 아파트 공시가가 오르면 이율이 내려가나요?,"아파트,담보대출, 금리, 가능","담보대출,대출-금융상품"
A13407,대출 신청,1,아파트 담보대출을 추가로 받을 수 있나요?,"아파트, 담보대출, 추가","담보대출,대출-금융상품"
A13413,대출 신청,1,제가 담보대출을 하고 싶은데요 가능한가요?,"담보,대출,가능","대출,대출-금융상품"
A13414,대출 신청,1,제가 토지를 담보로 대출을 하고 싶은데요 가능한가요?,"담보,대출,가능,토지","대출,땅"
A13421,대출 신청,1,제가 전세자금을 받을 수 있나요?,"전세,자금","자금,돈"
A13422,대출 신청,1,제가 전세자금을 받은게 있는데 추가로 받을 수 있나요?,"전세,자금,추가","자금,돈"
A13424,대출 신청,1,제가 토지를 담보로 대출을 하고 싶은데요 가능한가요?,"담보,대출,가능,토지","대출,땅"
A13428,대출 신청,1,월세보증대출이 있다던데 맞나요?,"월세,보증,대출","보증,대출-금융상품"
A13429,대출 신청,1,월세보증대출의 조건이 어떻게 되나요?,"월세,보증,대출,조건","보증,요건"
A13430,대출 신청,1,월세보증대출의 조건이 어떻게 되나요?,"월세,보증,대출,조건","보증,요건"
A13437,대출 신청,1,대출을 받아서 건물을 짓고 싶은데 가능할까요?,"대출, 건물","건물,건축물"
A13438,대출 신청,1,"아파트 담보대출이 있는데, 추가대출 가능한가요?","아파트, 담보대출, 추가대출","담보대출,공동주택"
A13439,대출 신청,1,단기 대출을 진행하고 싶은데요?,"단기, 대출","대출,대출-금융상품"
A13442,대출 신청,1,저는 직업군인인데 대출 가능한가요?,"직업,군인, 대출","군인,하는일"
A13443,대출 문의,1,제가 아파트 담보대출을 받았는데 금리를 낮출 수 있는 방법이 있나요?,"아파트,담보대출, 금리, 가능","담보대출,허용"
A13446,대출 신청,1,담보대출이 처음이라 제가 잘 모르겠는데 저도 가능한가요?,담보대출,"담보대출,보증"
A13456,대출 신청,1,제가 소유한 예금을 담보로 대출할 수 있나요?,"예금, 담보, 대출","담보,보증"
A13457,대출 신청,1,제가 담보가 없는데 얼마나 신용대출을 받을 수 있나요?,"담보,신용, 대출","신용,보증"
A13458,대출 신청,1,제가 신용대출을 받을 수 있을까요?,"신용,대출","대출,대출-금융상품"
A13460,대출 신청,1,저도 마이너스통장을 개설할 수 있나요?,"마이너스통장,개설","개설,마이너스통장-금융상품"
A13688,대출서비스,1,디딤돌 대출 받을 수 있을까 하구요,"디딤돌대출,받을수","받을수,대출받을수"
A13689,대출서비스,1,디딤돌 대출 받고 싶은데요?,"디딤돌대출,받을수","받을수,대출받을수"
A13690,대출서비스,1,디딤돌 대출에 대해 문의하려구요,"디딤돌대출,문의","문의,질문"
A13691,대출서비스,1,디딤돌 대출 받을 수 있을까 하구요,"디딤돌대출,받을수","받을수,대출받을수"
A13692,대출서비스,1,디딤돌 대출에 대해 문의하려구요,"디딤돌대출,문의","문의,질문"
A13693,대출서비스,1,디딤돌 대출 문의합니다.,"디딤돌대출,문의","문의,질문"
A13694,대출서비스,1,내 생애 첫 주택대출이 어떤게 있나요?,첫 주택대출,"첫주택대출,주택담보대출"
A13695,대출서비스,1,청년전세대출 문의하려구요,"전세대출,문의","문의,문의상담"
A13696,대출서비스,1,청년전세대출 문의하려구요,"전세대출,문의","문의,문의상담"
A13697,대출서비스,1,대출연장을 하려면요?,대출연장,"대출연장,만기연장"
A13698,대출서비스,1,주택대출관련 정보를 얻고싶어요,"주택대출,정보","정보,내용"
A13699,대출서비스,1,주택대출관련 정보를 얻고싶어요,"주택대출,정보","정보,내용"
A13700,대출서비스,1,청년전세대출 문의하려구요,"전세대출,문의","문의,문의상담"
