고객의도,고객질문(요청)
0,단독주택을 지으려고 하는데 대출받을 수 있나요?
0,주택구입시 담보대출이 가능할까요?
0,주택자금대출 알아보려구요
0,전세자금 대출 알아보려구요
0,수고하십니다 주택담보대출 좀 알아보려고 하는데요.
0,신용대출 문의해도 될까요
0,주택도시기금대출 문의합니다. 
0,주택담보대출의 부대비용을 알고 싶은데요.
0,주택담보대출 문의를 좀 해도 될까요?
0,주택담보대출에 대해서 알려주실수 있을까요?
0,전원주택을 대출을 받아서 지으려고하는데 될까요?
0,제가 집을 지을 계획인데  대출을 받을수 있을까해서요
0,대출을 받아서 주택을 지으려고 하는데요?
0,주택구입하려하는데 담보대출 할수 있을까요?
0,주택을 담보로 대출을 받을 수 있나요?
0,대출받아서 집지으려는데 대출될까요?
0, 주택담보 대출 부대비용문의하려고 하는데요?
0, 다주택지 주택담보 대출 가능할까요?
0,단독주택을 지으려고 하는데 대출받을 수 있나요?
0,안녕하세요 주택구입시 담보대출이 가능할까요?
0,내 생애 첫 주택대출이 어떤게 있나요?
0,주택대출관련 정보를 얻고싶어요
0,주택대출관련 정보를 얻고싶어요
0,전세대출가능한 주택을 조회할 수 있나요?
0,내 생애 첫 주택대출이 궁금해요
0,주택 담보대출 받았는데요.  금리를 조정 할  수 있습니까?
0,신혼부부 디딤돌대출을 받을수 있는 주택의 가격은 어떻게 되나요?
0,디딤돌 대출을 받을 수 있는 대상주택의  가격은 얼마까지 인가요?
0,보금자리론은 신규주택 구입용도로만 신청해야 하나요?
0,분양권을 보유하고 있으면 주택 보유수에 포함되나요?
0,DTI는 무엇을 말하는 것인가요?
0,DSR이란 무엇을 말하는 것인가요?
0,주택자금대출상환증명서 메뉴에서 대출계좌가 나타나지 않는데 왜 그런가요?
0,주택을 구입하면서 잔금이 부족한데 대출이 가능하나요?
0,타행 주택담보대출을 OO은행 대출로 대환 가능하나요?
0,주택구입자금대출 소득공제 한도는 얼마인가요?
0,주택구입자금대출 2015년 이후 소득공제 한도는 얼마인가요?
0,청약저축과 주택청약종합저축을 담보로 대출이 가능하나요?
0,현재 거주하고 있는 전세주택의 임대차계약으로도 전세대출이 가능한가요?
0,전세자금대출을 받고 있는데 다른 주택으로 이사를 가는 경우는 대출을 상환 해야 하나요?
0,현재 거주하고 있는 전세주택의 임대차계약으로도 전세대출이 가능한가요?
0,타행 주택담보대출을 당행은행 대출로 대환 가능하나요?
0,단독주택을 지으려고 하는데 대출받을 수 있나요?
0,집짓으려는데 대출을 받을 수 있을까요?
0,대출을 받아서 단독주택을 짓고 싶은데 가능할까요?
0,제 신용도로 대출 얼마까지 되는지 알수 있을까요?
0,주택전세자금대출이란 무엇인가요?
0,오피스텔은 업무시설이라 주택 규제 대상이 아니기 때문에 대출이 자유롭다고 알고 있는데 대출 받으려는 곳이 오피스텔인지는 어떻게 확인하나요?
0,주택담보대출이 정부의 규제로 심사가 까다로워 진다고 하는데 맞나요?
0,부동산 대출규제의 핵심은 무엇인가요?
0,나에게 맞는 전세자금대출은 무엇일까요?
0,저축은행과 캐피탈에서 90%까지 대출을 위해서 대출자가 해야하는 부분은 무엇인가요?
0,대출이자를 줄이는 가장 좋은 방법은 무엇일까요?
0,주택담보대출금리 정확한 선택 방법을 알려주세요.
0,주택담보대출금리 현황에 대해서 간략히 설명 부탁합니다.
0,금융의 LTV(주택담보대출비율)는 언제 시행되었나요?
0,DTI(총부채상환비율)는 개인신용평가시스템(CSS)과 비슷한 개념이라는데 설명 가능할까요?
0,LTV(주택담보대출비율)과 DTI(총부채상환비율)은 무엇인가요?
0,DTI와 LTV 규제완화 정책의 목적에서 2금융권 대출이 늘면서 가계부채의 구조와 질이 악화되고 가계의 이자부담이 증가했는데 당시 수도권이 제일 문제라고 했는데요?
0,DTI와 LTV 규제완화 정책에서 향후 부정적 전망은 무엇일까요?
0,손쉬운 주택담보대출금리비교 없을까요?
0,주택담보대출을 대환해서 금융사를 갈아탄다는 것이 어렵습니다.
0,아파트담보대출 최고한도중 최저금리 상품을 찾는데 조언이 필요한데요. 현재 아파트담보대출 한도는 얼마나 가능할까요?
0,금융상품에서 햇살론 들어보셨나요? 햇살론이 무엇인지 알려주세요?
0,햇살론 자금목적에 따라 최대한도가 다르다고 하는데 어떻게 다른가요?
0,"현재의 주택담보대출 시장, 금리 등이 궁금합니다."
0,현재 금융권에 적용되는 아파트 담보대출 최저금리가 모든 사람에게 적용되는 것은 아니잫아요?
0,주택담보대출 받기 전 확인 사항을 알려주세요.
0,주택담보대출 받기를 원해서 근처 00은행을 갔는데 금리가 너무 비쌉니다. 대출을 받아야 할까요?
0,금융기관의 주택담보대출 서류를 준비하려는데 사업자인 경우는 소득증빙 서류를 무엇을 준비할면 될까요?
0,요즘 주택담보대출 자필 서명이 이루어지는 것으로 알고 있는데 서명 및 서명 이후 유의사항을 알려주세요.
0,주택담보대출에서 이자가 너무 비싸서 고민을 하니 지인이 대환을 예기하셨습니다. 대환이 뭔가요?
0,주택담보대출에서 제로금리에 대한 설명이 잠깐 있었는데 좀 더 자세히 금리에 대해 설명해주세요.
0,일본의 제로 금리 시대 처럼 우리도 될까봐 걱정을 하는데 다른 투자자들은 어떻게 하고 있나요? 
0,주택을 담보로 돈을 빌린다는 것이 참 위험한 것인데 잘못되면 길거리로 나가는 생각때문에 고민이 많아지는데 저만 그런걸까요?
0,주택담보대출 보금자리론에 대해 설명을 부탁합니다.
0,보금자리론 자격요건에서 개인소득은 얼마이상이어야 합니까?
0,요즘 변동금리보다 고정금리를 선호한다는데 이유가 뭔가요?
0,보금자리론 변경내용중에 소득이 연 2천4백만원이하인 경우 신청안된다는데 이유가 뭔가요?
0,청년 버팀목 전세자금대출 지원이라는 것이 이름처럼 주택 구입 대출이 아니죠?
0,한국주택금융공사 전세대출보증의 상품의 정확한 내용이 어떻게 되는 건가요?
0,한국주택금융공사 전세대출보증 필요서류에서 본인확인서류는 무엇이 필요한가요?
0,한국주택금융공사 전세대출보증에서 전(월)세계약서상의 임차인과 보증신청인은 달라도 신청가능하지요?
0,한국주택금융공사 전세보증금반환보증 신청시기는 어떻게 되나요? 
0,주택금융공사 저금리 주택담보대출이 있다고 들었는데 혹시 아시나요?
0,디딤돌대출 조건에서 신청대상에 대해 구체적으로 알고 싶습니다. 먼저 7.10 부동산 대책 반영은 없나요?
0,디딤돌대출 조건에서 대출한도를 자세히 알고 싶습니다.
0,유한책임대출이란 무엇인가요?
0,"주택담보대출을 받는 사람, 즉 채무자 중에는 대출금액을 상환하지 못해 연체가 발생되는 사람도 있지 않습니까?"
0,MCG와 유한책임대출 혼용은 가능한가요?
0,소액임대차 최우선변제권에서 방수 공제액이란 무엇인가요?
0,디딤돌대출 조건에서 대출금리에서 우대금리 적용 기준을 알려주세요.
0,한국주택금융공사의 더나은 보금자리론에 대해 알고 싶습니다.
0,더 나은 보금자리론의 대출한도는 어떻게 되나요?
0,더 나은 보금자리론의 자격 조건 중에서 소득 조건이 궁금합니다.
0,더 나은 보금자리론의 대출 종류는 어떻게 되나요?
0,보금자리론 체증식 분할상환을 알고 싶은데 상환방식은 몇가지나 있나요?
0,대출상환에서 체증식 분할상환의 이점을 알려주세요.
0,"체증식 분할상환의 이점중에서 물가상승, 현금성 자산의 가치 하락 부분을 설명해주세요."
0,저금리 주택담보대출 보금자리론 대출자격에서 MCG 모기지신용대출을 알려주세요.
0,저금리 주택담보대출 보금자리론 대출자격에서 유한책임대출을 알려주세요.
0,OO은행 주택담보대출이 100% 비대면 아파트 담보대출이라는데 정말인가요?
0,OO은행 주택담보대출에서 아파트 담보대출이 불가한 경우는 어떤 경우인가요?
0,OO은행 주택담보대출에서 신청 가능한 대출 상품에서 신규생활자금은 얼마까지 대출이 되나요?
0,OO은행 주택담보대출 중에서 가계담보대출은 언제까지 신청가능할까요?
0,주택도시기금 대출의 버팀목 전세대출을 알고 싶은데요. 무소득자도 신청가능 하다는데 맞나요?
0,버팀목 전세대출의 담보별 보증한도가 궁금합니다.
0,연소득이 4천만원 이하이고 임차 보증금이 1억원 이하의 경우는 대출금리가 어떻게 되나요?
0,버팀목 전세대출의 소득조건이 궁금합니다.
0,준주택 종류는 무엇인가요?
0,버팀목 전세대출 자격 조건에서 임차 보증금은 어떻게 되나요?
0,캐피탈사 아파트 담보대출 비교하기 정말 번거롭습니다.
0,대출을 받아서 단독주택을 짓고 싶은데 가능할까요?
0,안녕하세요 주택구입시 담보대출이 가능할까요?
0,저 주택대출자금상환증명서 메뉴에서 대출계좌가 안 뜨는데 왜 이런 거에요?
0,안녕하세요 주택구입시 담보대출이 가능할까요?
1,신혼부부 전세자금 대출 최저금리가 얼마죠?
1,비대면을 통해 전세 대출 신청하려고 몇 가지 문의드립니다.
1,"청년 전세자금 대출을 받을려고 하는데, 최저금리가 얼마인지 알수 있을까요?"
1,비대면을 통해 전세 대출 신청하려고 몇 가지 문의드립니다.
1,"청년 전세자금 대출을 받을려고 하는데, 최저금리가 얼마인지 알수 있을까요?"
1,전세자금대출이 될까요?
1,중소기업청년전세대출을 희망하는데 금리가 얼마인가요?
1,청년전용버팀목 전세대출 하려고요
1,중소기업청년전세대출 문의요
1,전세 대출 알아보려고요
1,전세자금대출이 하고 싶은데요
1,전세 대출 알아보려고요
1,전세자금대출 하려고요
1,전세자금 대출 알아보려구요
1,전세자금 대출 문의드려도 될가요?
1,전세자금 대출 문의드려도 될가요?
1,전세자금대출 완납하고 싶은데요?
1,수고하십니다 전세자금 대출을 받고 싶은데요.
1,수고하십니다. 전세자금대출에 대해 궁금한게 있어서요.
1,전세대출 관련하여 문의 드릴께 있어서요.
1,수고하십니다. 전세 대출 가능한지 좀 알아보려고요.
1,전세금이 부족해 신용대출 문의 하려구요
1,전세자금대출 한도 문의해도 될까요?
1,버팀목 전세자금 대출 관련 문의좀 드립니다. 
1,전세대출관련 질문이 좀 있어서요. 
1,신혼부부 전세 대출 여기서 신청해도 되나요?
1,전세대출 문의 좀 하려고 합니다. 
1,전세대출 문의 드립니다
1,전세자금대출 문의드립니다.
1,전세담보대출 알아볼 수 있나요?
1,전세집을 담보로 하는 대출 상품이 있나요?
1,전세담보대출 받는 방법을 알 수 있을까요?
1,전세대출을 받으려고 전화했어요?
1,전세대출 문의좀 하겠습니다?
1,사업자 전세 대출이 가능한지 궁금합니다.
1,안녕하세요 버팀목 전세자금 대출 문의 좀 드리려구요~
1,전세대출 상담문의 좀 드립니다.
1,중소기업청년전세대출은 금리가 얼마인가요?
1,신혼부부 전세자금 대출 최저금리가 얼마죠?
1,전세자금대출에 대해서 문의좀 드릴까해서요.
1,대출받은거중에 연말정산때 소득공제 받을수 있는게 있다고 하던데 맞나요?
1,아파트 전세 살고 있는데요 대출되나요?
1,전세금 대출을 받고 싶은데요?
1,OO은행에서 전세금 대출이 가능하다는데 맞나요? 
1,전세자금 대출과 관련해 문의드릴 게 있습니다. 여기 물어보면 되나요?
1,청년 전세대금대출이 어떤건가요?
1,전세 대출을 알아 보고 싶있어요
1,지금 전세대출을 알아보고 있거든요?
1,중소기업 청년 전세대출이라는게 있더라구요.
1,전세자금대출을 받았는데요?
1,전세 대출에 대해 알아보고 있어요
1,전세자금 대출 받고 싶은데 요즘 금리가 몇프로에요?
1,전세자금대출 받으려고 하는데 신청할수 있을까요?
1,중소기업 청년 전세대출이라는게 있던데 무엇인가요?
1,전세자금 대출 받으려고 하는데요?
1,전세금 대출을 받고 싶은데요. 문의해도 될까요?
1,대출 상환을 연장할 수있다던데 맞나요?
1,신혼부부 전세자금 대출 최저금리가 얼마죠?
1,제가 전세자금대출을 받을 수 있을까요?
1,전세자금대출이 될까요?
1,전세자금 대출 받을려고 합니다. 최저금리도 알고싶습니다.
1,"청년 전세자금 대출을 받을려고 하는데, 최저금리가 얼마인지 알수 있을까요?"
1,전세자금 대출 받고 싶은데 요즘 금리가 몇프로에요?
1,전세자금 대출 조건에 대해 궁금합니다. 
1,신혼부부 전세 대출을 신청하려고 합니다. 
1,안녕하세요. 전세 대출 문의하려고 하는데요. 
1,전세자금대출 받으려고요. 
1,전세대출 받고싶은데 안내 좀 부탁드릴게요. 
1,안녕하세요. 전세대출 상담 좀 해주세요. 
1,전세자금 대출을 좀 받고싶은데요. 
1,전세금 때문에 대출문의를 좀 하려고 합니다. 
1,전세자금대출 문의하려구요
1,중소기업 청년전세대출이 있다던데요
1,전세대출 문의하려구요
1,전세자금대출을 변경할 수 있나요?
1,전세자금 대출 알아보려구요
1,전세 대출 한도를 알고 싶은데요
1,제가 전세자금을 받을 수 있나요?
1,제가 전세자금을 받은게 있는데 추가로 받을 수 있나요?
1,청년전세대출 문의하려구요
1,청년전세대출 문의하려구요
1,청년전세대출 문의하려구요
1,전세대출가능한 주택을 조회할 수 있나요?
1,청년전세대출 문의하려구요
1,전세대출 연장시 문의사항이요
1,전세 대출의 잔금이 얼마 남았나요?
1,전세 대출 하고싶네요
1,전세자금대출 해보려고하는데 도와주세요
1,안녕하세요 전세대출 문의좀 할수 있을까요?
1, 전세자금 대출 문의 입니다.
1,안녕하세요~ 제가 전세자금대출을 받아야하는데요 제가 가능할까싶어서요 
1,안녕하세요~ 전세자금대출 정보 좀 알려고하는데요 
1,안녕하세요~ 제가 지금 버팀목전세자금 대출을 받고 있는데요  추가로 더 받을수 있을까해서요
1,전세자금 대출이 대상이 어떻게 되나요?
1,전세자금대출 문의합니다. 
1,신혼부부 전세대출 받으려고 합니다. 
1,제가 현재 월세로 살고 있는데요.
1,OOO 전세자금대출에 대해 안내받고 싶어서 연락드렸어요.
1,OOO 전세자금대출 받고 싶은데요.
1,OOO 전세자금대출을 받으려는데 대출신청자에 대한 조건이 있을까요?
1,"안녕하세요, 제가 전세자금대출을 받을 수 있는지 궁금해서요."
1,OOO 전세자금대출 최대 금액 좀 알 수 있을까요?
1,OOO 전세자금대출 금리 문의 좀 드려요.
1,OOO 전세자금대출 받으려고 하는데요.
1,전세자금대출 금리가 궁금합니다. 
1,OOO 전세자금대출 받을 건데요.
1,전세자금대출에 필요한 서류 좀 알려주세요.
1,OOO 전세자금대출을 준비하고 있습니다.
1,OOO 전세자금대출에 대해 문의 좀 드려요.
1,OOO 전세자금대출을 신청할 건데요.
1,OOO 전세자금대출에 대해 문의 좀 드려요.
1,OOO 전세자금대출을 받았는데요.
1,제가 OOO 전세자금대출을 신청했는데요.
1,OOO 전세자금대출 갚고 있는데요.
1,제가 OOO 전세자금대출을 받아서 살고 있는데요.
1,전세자금 대출 문의하려구요?
1,전세보증금으로 대출이 가능한가요?
1,중소기업 직장인 전세대출 금리 문의하려구요
1,청년 버팀목 전세자금 대출에 대해 알아보고 싶은데요
1,안심전세대출고 전세집을 구하려고 하는데요
1,전세자금(월세 포함)대출이 가능한가요?
1,현재 거주하고 있는 전세주택의 임대차계약으로도 전세대출이 가능한가요?
1,전세금을 담보로 대출이 가능한가요?
