고객의도,고객질문(요청)
1,전세자금대출을 받고 있는데 다른 주택으로 이사를 가는 경우는 대출을 상환 해야 하나요?
1,전세자금 대출도 소득공제 가능한가요?
1,현재 거주하고 있는 전세주택의 임대차계약으로도 전세대출이 가능한가요?
1,"전세자금 대출 받고싶은데요, 최저금리가 얼마인가요? "
1,신혼부부 전세자금 대출금리는 얼만가요?
1,전세자금대출을 받았는데 연장이 가능할까요?
1,"신혼부부 전세자금 대출 받을려고 하는데, 최저금리가 얼마인가요?"
1,대출문의 가능한가요?
1,"중소기업청년전세대출이라는게 있던데, 저도 될까요?"
1,전세자금대출 문의드립니다.
1,전세대출 문의드립니다.
1,"대출을 받았는데, 연장이 가능한지 궁금합니다."
1,대출 받은 것도 소득공제가 가능한가요?
1,연말정산 할때 대출금 중 소득공제 되는게 있다던데 그런가요?
1,저번 시간에 이어 은행대출에서 소년소녀가정 등 전세자금은 무엇인가요?
1,주택전세자금대출이란 무엇인가요?
1,빌라는 전세보증금 대출금리가 어떻게 됩니까?
1,"앱에서 전세자금대출을 신청하려는데, 서류는 은행에 직접 가서 내도 상관없나요?"
1,전세자금 대출을 했는데요 소득공제때문에 궁금한 게 있습니다.
1,수고하십니다. 전세자금대출이 문의하고 싶은데요
1,전세대출을 받고싶은데요
1,전세자금대출에서 생활자금의 신청요건은 무엇인가요?
1,나에게 맞는 전세자금대출은 무엇일까요?
1,청년 전용 버팀목 전세자금대출 지원대상 확대되었다고 하는데 맞나요?
1,청년 버팀목 전세자금대출 지원이라는 것이 이름처럼 주택 구입 대출이 아니죠?
1,청년 버팀목 전세대출의 금리는 어떻게 되나요?
1,한국주택금융공사 전세대출보증의 상품의 정확한 내용이 어떻게 되는 건가요?
1,한국주택금융공사 전세대출보증 필요서류에서 본인확인서류는 무엇이 필요한가요?
1,한국주택금융공사 전세대출보증에서 전(월)세계약서상의 임차인과 보증신청인은 달라도 신청가능하지요?
1,한국주택금융공사 전세보증금반환보증 신청시기는 어떻게 되나요? 
1,청년 버팀목 전세자금 대출한도를 정리해주세요.
1,청년 버팀목 전세대출의 예상대출금액 어떻게 해야 하나요?
1,주택도시기금 대출의 버팀목 전세대출을 알고 싶은데요. 무소득자도 신청가능 하다는데 맞나요?
1,버팀목 전세대출의 담보별 보증한도가 궁금합니다.
1,버팀목 전세대출의 소득조건이 궁금합니다.
1,버팀목 전세대출 자격 조건에서 임차 보증금은 어떻게 되나요?
1,"전세자금 대출 받고싶은데요, 최저금리가 얼마인가요? "
1,대출문의 가능한가요?
1,"중소기업청년전세대출이라는게 있던데, 저도 될까요?"
1,전세자금대출이 될까요?
1,전세자금 대출 받을려고 합니다. 최저금리도 알고싶습니다.
1,전세자금 대출 받고 싶은데 요즘 금리가 몇프로에요?
1,전세자금 대출이 대상이 어떻게 되는지 알수있나요?
1,중소기업에 다니고 있는데 전세대출 가능할까요?
1,저 전세자금대출을 받을 수 있나요?
1,저기요. 전세자금대출을 문의하려고 하는데요. 전세자금대출을 지금 살고 있는 전세계약으로 대출을 할 수 있나요?
1,전세자금대출이 될까요?
1,전세자금 대출 받을려고 합니다. 최저금리도 알고싶습니다.
1,안녕하세요. 전세를 들어가려고 알아보고 있습니다.
1,청년전용버팀목 전세대출이 뭔가요.
1,은행에서 대출만기 기일이 다되었다는 문자를 받았습니다.
1,대출 상환을 연장할 수있다던데 맞나요?
1,"청년 전세자금 대출을 받을려고 하는데, 최저금리가 얼마인지 알수 있을까요?"
1,청년전세대금대출이 궁금해서요
1,전세대출 좀 받고 싶은데요?
1,전세자금 대출이 가능한가요?
1,비대면을 통해 전세 대출 신청하려고 몇 가지 문의드립니다.
1,전세대출 받고 싶은데요?
1,청년 버팀목전세자금 대출 만기연장 가능한가요?
1,청년맞춤형전세 대출하려고 하는데요?
1,전세대출신청한거 진행상황이 궁금한데요
2,신용대출을 받을 수 있는 나이는 몇 살 이상인가요?
2,조건없이 신용대출 받을 수 있나요?
2,신용대출을 받고 싶은데 얼마나 받을 수 있을까요?
2,1억원을 15일간만 신용대출하는게 가능한가요?
2,신용대출이 가능한지 문의하려고 합니다.                 조건이 어떻게 되나요?
2,담보같은거 없이 제가 신용 대출을 받을 수 있을까요?
2,신용대출을 받고 싶은데 나이제한이 있나요?
2,신용대출이 가능한지 문의하려고 합니다.                 조건이 어떻게 되나요?
2,신용카드로 대출 되요?
2,신용대출이 가능한지 문의하려고요
2,신용카드로 대출 할 수 있습니까?
2,신용대출을 받고싶은데요
2,대출시 신용등급이 많은 영향을 끼치나요
2,신용대출 받고싶은데요 가능할까요?
2,수고하십니다. 신용대출 관련해서 궁금한게 있어서요.
2,수고하십니다 신용대출은 받으려면 어떻게 하나요?
2,신용대출 상담 할 수 있나요?
2,수고하십니다. 신용대출을 받고 싶은데요.
2,저기요 신용대출 받고 싶은데 가능할까요?
2,수고 많으십니다. 대출이 가능한 지 좀 알아보려고요.
2,수고하십니다. 저도 대출이 될까 해서요.
2,저기요 신용대출 받을수 있나 해서요.
2,전세금이 부족해 신용대출 문의 하려구요
2,신용대출 문의해도 될까요
2,신용대출을 받을 수 있을까요?
2,신용대출에 대해 질문 좀 하려고요. 
2,신용대출을 인터넷으로 신청 할 수 있나요?
2,신용대출 문의 드립니다
2,급여이체신용대출 상품이 있나요?
2,신용대출 문의를 해겠습니다?
2,신용대출 한도 문의를 하고싶은데요?
2,신용대출 관련해서 몇가지 문의해도 되나요?
2,신용대출 문의좀 할게요?
2,"신용대출을 받고싶은데요,직업이 있어야 할까요?"
2,신용대출 심사는 받기 어렵나요?
2,신용등급 조회 신청은 어디서 하죠? 대출 신청을 할려고 해서 궁금합니다.
2,"대출을 받으려는데, 은행에서 신용정보조회서를 발급 받아오라고 하네요."
2,"대출로 상담했었는데, KCB라는 얘기를 하더라구요. 그게 뭔지 너무 궁금해서요.."
2,신용대출을 받을때 직접가지않고 비대면으로 신청할수 있나요?
2,신용대출을 받을 수 있는 나이는 몇 살 이상인가요?
2,아파트론 대출을 하려면 어떤 방법이 가장 좋은가요?
2,신용대출은 어떻게 받을수 있나요?
2,ㅇㅇ은행에 무서류간편대출이라는게 있다던데요?
2,신용카드한도대출 문의 드립니다.
2,신용카드대출 알아보는중인데..
2,신용대출은 어떻게 받을 수 있나요?
2,신용대출 상담 가능한가요?
2,신용대출 가능한가요?
2,제 대출한도만 알아봐도 신용조회 기록이 남는다고 하는데 맞나요?
2,"신용대출 상담을 받고 싶은데, 여기서도 가능한가요?"
2,대출알아보면 신용조회기록이 남는다던데 대출알아본것만으로 그렇게 되요?
2,신용대출상담 가능할까요?
2,대출계약에 대해 궁금한 사항이 있어서요
2, 보험사대출 받으면 일반은행 신용이 떨어지나요?
2,요새 서류 없이 신용대출이 가능하다던데 
2,신용대출 받은게 얼마나 남았죠?
2,신용대출 잔액이 얼마나 남았죠?
2,신용대출을 받을 수 있는 나이는 몇 살 이상인가요?
2,신용대출 받고 싶어요
2,신용대출 금리 인하를 받을 수 있나요?
2,신용대출을 받고 싶은데 얼마나 받을 수 있을까요?
2,1억원을 15일간만 신용대출하는게 가능한가요?
2,신용대출을 받고 싶은데 가능한가요?
2,신용대출을 받고 싶은데 나이제한이 있나요?
2,신용대출 문의드립니다. 대출을 받을 수 있는 나이는 어떻게 되나요.
2,신용대출 문의드립니다.
2,신용대출은 어떻게 받을 수 있나요?
2,비대면으로 신용대출 받을 수 있나요?
2,신용대출을 받고 싶은데 인터넷으로 가능한가요?
2,안녕하세요. 대출 받으려고 하는데요. 
2,신용대출 신청은 은행에 가서해야하는건가요?
2,공무원 전용 신용대출이 있습니까?
2,신용대출이 가능한가 해서요
2,신용대출이 얼마나 가능한가 해서요
2,신용 대출을 하고 싶은데요.
2,제가 얼마나 신용대출을 받을 수 있나요?
2,제가 신용대출을 받을 수 있을까요?
2,제가 담보가 없는데 얼마나 신용대출을 받을 수 있나요?
2,제가 신용대출을 받을 수 있을까요?
2,신용대출 잔액 알고 싶어요
2,신용대출 잔액 알려 주세요
2,신용대출 잔액이 얼마나 남았죠?
2,신용카드로 대출 할 수 있습니까?
2,신용카드로 대출 할 수 있나요?
2,신용 대출 해주세요
2,바로받는 신용대출에 대한 광고를 봤습니다. 정말 바로 받을 수 있습니까?
2,신용대출을 받고싶은데요
2,신용카드로 대출 하고 싶은데요
2,안녕하세요 제가 신용대출을 좀 알아보고 있어요
2,"수고하십니다, 신용대출때문에 문의좀 드릴께요?"
2,안녕하십니가 신용대출을 알아보는데 제가 조건이 되나 싶어서요.
2,안녕하세요 OO은행이지요?
2,수고하십니다 OO은행이지요?
2,수고하십니다 혹시 신용대출을 인터넷으로 신청할 수 있나요?
2,안녕하세요 제가 신용대출좀 받아볼까 해서 전화드렸어요
2,제가 대출이가능한지 알고 싶어 전화드렸어요
2,안녕하세요 제가 대출을 받아볼까 하는데요
2,수고하십니다 혹시 신용대출 상담 가능할까요?
2,저기요 제가 가진 신용카드로 대출 할 수 있습니까?
2,신용대출을  좀  받고 싶은데요?
2,조건없이 신용대출 받을 수 있나요?
2,신용대출 받으려고 하는데요. 
2,신용대출받을때 어떤 조건이 필요한가요?
2,신용대출 비대면으로 받을수 있나요?
2,신용대출 관련 문의하고 싶은데요
2,신용등급이 낮을 경우 금융권에서 대출을 받는데 영향이 있나요?
2,저신용도임에도 신용 대출을 받아야 한다면 어느 금융권에 알아봐야 하나요?
2,담보대출이란 어떤 것입니까?
2,OO은행에서 받을 수 있는 신용대출은 없나요?
2,DSR이란 무엇을 말하는 것인가요?
2,"신용대출을 받고싶은데, 얼마나 받을 수 있을까요?"
2,신용대출 신청은 반드시 영업점 방문해야 하나요?
2,신용대출 만기가 다가오는데 연장 신청이 가능한가요?
2,스마트론 대출과 전화로 신용대출 진행의 차이가 있나요?
2,대출원금 완제 후 이자연체만 남은 경우에도 한국신용정보원 연체정보로 등록되나요? 
2,신용대출을 받고 싶은데 얼마나 받을 수 있을까요?
2,1억원을 15일간만 신용대출하는게 가능한가요?
2,신용대출은 어떻게 받나요?
2,"저….현금이 급해서 그러는데, 신용대출 가능할까요?"
2,신용담보대출을 받고 싶은데요.
2,대출가능여부 조회를 하면 신용조회 기록이 남나요?
2,신용대출을 받고 싶은데 가능한가요?
2,신용대출 심사 받는게 많이 까다롭나요?
2,교보바로받는 신용대출에 대한 광고를 봤습니다. 정말 바로 받을 수 있나요?
2,제 신용도로 대출 얼마까지 되는지 알수 있을까요?
2,"신용대출을 직접 가지 않아도 받을 수 있는 방법이 있다던데, 맞나요?"
2,"대출 받을려면 신용등급을 알아야 된다는데, 어디서 조회 해볼 수 있는거죠?"
2,대출을 알아보는 것만으로도 신용조회 기록이 남는다고 하더라구요.
2,"신용대출 상담을 받고 싶은데, 여기서도 가능한가요?"
2,이번에는 신용대출과 담보대출에 대해 질문을 하고 싶은데 가능할까요?
2,제가 신용대출을 받을 수 있을까요?
2,제 마이너스통장 기한이 연장될 수 있나요?
2,제 마이너스통장 기한이 연장될 수 있나요?
2,제 마이너스통장 기한이 연장될 수 있나요?
2,제 마이너스통장 기한이 연장될 수 있나요?
2,단기 대출을 진행하고 싶은데요?
2,"제가 돈이 급하게 필요한데, 단기로 대출 받을 수 있나요?"
2,교보바로받는 신용대출은 무방문으로도 받을 수 있나요?
2,OO보험 신용대출은 무방문으로도 받을 수 있어요?
2,대출계약에서 신용회복을 신청할 경우는 대출금 전액 상환해야 하나요?
2,본인 신용등급 조회에 대해서 궁금합니다.
2,DTI(총부채상환비율)는 개인신용평가시스템(CSS)과 비슷한 개념이라는데 설명 가능할까요?
2,대출을 받으려는데 담보가 부족해서 추가적인 보완책으로 신용대출을 알아보고 있는데 어렵습니다.
2,은행의 신용대출이 너무 깐깐해서 광고에 나오는 저축은행 신용대출을 받으면 어떻게 될까요?
2,"카드대출, 현금서비스 외에 캐피탈, 저축은행 신용대출 등에서 취급되는 대출상품의 금리가 연 8~20% 사이라고 하셨는데 원래 저축은행 상품이 모두 금리가 비싼편인가요?"
2,"신용대출 상품으로 새희망홀씨, 햇살론, 바꿔드림론 등 상품이 있다는데 새희망홀씨부터 설명을 좀 해주세요. "
2,신용대출 상품으로 햇살론 설명을 좀 해주세요. 
2,"신용대출 상품으로 새희망홀씨, 햇살론, 바꿔드림론 등 상품이 있다는데 바꿔드림론 설명을 좀 해주세요. "
2,직장인 신용대출 받으려면 어떻게 해야 할까요? 저금리상품이면 좋겠는데요?
2,저금리 주택담보대출 보금자리론 대출자격에서 MCG 모기지신용대출을 알려주세요.
2,그럼 신용 평가의 요인은 무엇인가요?
2,OOO캐피탈 아파트 보유자 무설정 신용대출에서 대출한도는 얼마인가요?
2,OO은행캐피탈 부동산 소유자 신용대출의 대출한도은 어떻게 되나요?
2,OOO캐피탈 아파트 보유자 우대금리 신용대출의 장점이 무엇일까요?
2,OOO캐피탈 아파트 소유자 신용대출을 위한 대출금리는 어떻게 되나요?
2,OOO캐피탈 아파트 보유자 신용대출의 상품 설명을 부탁합니다.
2,주말에 대출이 가능할까요? 
2,주말 소액대출로 소액을 빌린다고 해도 이자가 높기 때문에 금방 부담이 되기 때문에 빠르게 갚는게 좋겠죠?
2,일반적인 직장인 대출 상품의 직장인 재직기간은 1년 이상 아닌가요?
2,OO은행 이지페이론 중도상환수수료는 어떻게 되나요?
2,아무런 조건없이 신용대출 받을 수 있을까요?
2,신용대출은 어떻게 받나요?
2,신용대출 심사 받는게 많이 까다롭나요?
2,교보바로받는 신용대출에 대한 광고를 봤습니다. 정말 바로 받을 수 있나요?
2,신용대출을 받고 싶은데 나이제한이 있나요?
2,신용대출 문의드립니다. 대출을 받을 수 있는 나이는 어떻게 되나요.
2,신용대출 문의드립니다.
2,신용대출은 어떻게 받을 수 있나요?
2,신용대출을 인터넷으로 신청 할 수 있나요?
2,신용불량자도 보험계약대출이 가능한가요?
2,신용대출에 나이제한 있나요?
2,신용대출에 나이제한 있나요?
2,신용대출을 받을 수 있나요?
2,저 신용대출을 받고 싶은데 가능하나요?
2,저 신용대출 만기가 다 됐거든요. 혹시 연장할 수 있나요?
2,저 대출을 좀 받고 싶은데 어떻게 하면 되나요?
2,OO비상금대출이 뭔가요?
2,저 대출을 연장할 수 있나요?
2,신용대출을 받고 싶은데 나이제한이 있나요?
2,신용대출 문의드립니다. 대출을 받을 수 있는 나이는 어떻게 되나요.
2,신용대출 문의드립니다.
2,신용대출 유선으로도 가능하죠?
2,대출받으려는데 대출신용등급 알아보려구요
2,신용회복을 신청하려면 대출금 전액 상환해야 하나요?
2,신용등급 조회 할려고요
2,제 앞으로 신용대출이 가능한지 상담좀 받고 싶어요
2,신용대출 신청은 반드시 영업점 방문해야 하나요?
2,조건없이 신용대출 받을 수 있나요?
2,제 앞으로 신용대출이 가능한지 상담좀 받고 싶어요
3,자동차 담보 대출을 알아보고 있어요
3,자동차 구입시에 대출이 가능한가요?
3,자동차를 담보로 대출가능상품이 있나요?
3,차를 새로 사려고 하는데 대출을 좀 받을 수 있을까요?
3,자동차 대출 받을 수 있어요?
